province_name,district_name
Cần Thơ,Cái Răng
Cần Thơ,Cờ Đỏ
Cần Thơ,Ninh Kiều
Cần Thơ,Phong Điền
Cần Thơ,Thốt Nốt
Cần Thơ,Thới Lai
Cần Thơ,Vĩnh Thạnh
Cần Thơ,Ô Môn
Gia Lai,An Khê
Gia Lai,Ayun Pa
Gia Lai,Chư Prông
Gia Lai,Chư Păh
Gia Lai,Chư Pưh
Gia Lai,Chư Sê
Gia Lai,Ia Grai
Gia Lai,Ia Pa
Gia Lai,KBang
Gia Lai,Krông Pa
Gia Lai,Kông Chro
Gia Lai,Mang Yang
Gia Lai,Phú Thiện
Gia Lai,Pleiku
Gia Lai,Đăk Pơ
Gia Lai,Đăk Đoa
Gia Lai,Đức Cơ
Huế,A Lưới
Huế,Hương Thủy
Huế,Hương Trà
Huế,Phong Điền
Huế,Phú Lộc
Huế,Phú Vang
Huế,Quảng Điền
Hà Giang,Bắc Quang
Hà Giang,Hoàng Su Phì
Hà Giang,Hà Giang
Hà Giang,Quang Bình
Hà Giang,Quản Bạ
Hà Giang,Vị Xuyên
Hà Giang,Yên Minh
Hà Giang,Đồng Văn
Hà Nam,Bình Lục
Hà Nam,Duy Tiên
Hà Nam,Kim Bảng
Hà Nam,Lý Nhân
Hà Nam,Phủ Lý
Hà Nam,Thanh Liêm
Hà Nội,Ba Vì
Hà Nội,Ba Đình
Hà Nội,Bắc Từ Liêm
Hà Nội,Chương Mỹ
Hà Nội,Cầu Giấy
Hà Nội,Gia Lâm
Hà Nội,Hai Bà Trưng
Hà Nội,Hoài Đức
Hà Nội,Hoàn Kiếm
Hà Nội,Hoàng Mai
Hà Nội,Hà Đông
Hà Nội,Long Biên
Hà Nội,Mê Linh
Hà Nội,Mỹ Đức
Hà Nội,Nam Từ Liêm
Hà Nội,Phú Xuyên
Hà Nội,Phúc Thọ
Hà Nội,Quốc Oai
Hà Nội,Sóc Sơn
Hà Nội,Sơn Tây
Hà Nội,Thanh Oai
Hà Nội,Thanh Trì
Hà Nội,Thanh Xuân
Hà Nội,Thường Tín
Hà Nội,Thạch Thất
Hà Nội,Tây Hồ
Hà Nội,Đan Phượng
Hà Nội,Đông Anh
Hà Nội,Đống Đa
Hà Nội,Ứng Hòa
Hà Tĩnh,Can Lộc
Hà Tĩnh,Cẩm Xuyên
Hà Tĩnh,Hà Tĩnh
Hà Tĩnh,Hương Khê
Hà Tĩnh,Hương Sơn
Hà Tĩnh,Hồng Lĩnh
Hà Tĩnh,Kỳ Anh
Hà Tĩnh,Nghi Xuân
Hà Tĩnh,Thạch Hà
Hà Tĩnh,Vũ Quang
Hà Tĩnh,Đức Thọ
Hòa Bình,Cao Phong
Hòa Bình,Hòa Bình
Hòa Bình,Kim Bôi
Hòa Bình,Lương Sơn
Hòa Bình,Lạc Sơn
Hòa Bình,Lạc Thủy
Hòa Bình,Mai Châu
Hòa Bình,Tân Lạc
Hòa Bình,Văn Giang
Hòa Bình,Yên Thủy
Hòa Bình,Đà Bắc
Hưng Yên,Hưng Yên
Hưng Yên,Khoái Châu
Hưng Yên,Kim Động
Hưng Yên,Mỹ Hào
Hưng Yên,Phù Cừ
Hưng Yên,Tiên Lữ
Hưng Yên,Văn Giang
Hưng Yên,Văn Lâm
Hưng Yên,Yên Mỹ
Hưng Yên,Ân Thi
Hải Dương,Bình Giang
Hải Dương,Chí Linh
Hải Dương,Cẩm Giàng
Hải Dương,Gia Lộc
Hải Dương,Hải Dương
Hải Dương,Kim Thành
Hải Dương,Kinh Môn
Hải Dương,Nam Sách
Hải Dương,Ninh Giang
Hải Dương,Thanh Hà
Hải Dương,Thanh Miện
Hải Dương,Tứ Kỳ
Hải Phòng,An Dương
Hải Phòng,An Lão
Hải Phòng,Cát Hải
Hải Phòng,Dương Kinh
Hải Phòng,Hải An
Hải Phòng,Hồng Bàng
Hải Phòng,Kiến An
Hải Phòng,Kiến Thụy
Hải Phòng,Lê Chân
Hải Phòng,Ngô Quyền
Hải Phòng,Thủy Nguyên
Hải Phòng,Tiên Lãng
Hải Phòng,Vĩnh Bảo
Hải Phòng,Đồ Sơn
Hậu Giang,Châu Thành
Hậu Giang,Châu Thành A
Hậu Giang,Long Mỹ
Hậu Giang,Ngã Bảy
Hậu Giang,Phụng Hiệp
Hậu Giang,Vị Thanh
Hậu Giang,Vị Thủy
Hồ Chí Minh,1
Hồ Chí Minh,10
Hồ Chí Minh,11
Hồ Chí Minh,12
Hồ Chí Minh,3
Hồ Chí Minh,4
Hồ Chí Minh,5
Hồ Chí Minh,6
Hồ Chí Minh,7
Hồ Chí Minh,8
Hồ Chí Minh,Bình Chánh
Hồ Chí Minh,Bình Thạnh
Hồ Chí Minh,Bình Tân
Hồ Chí Minh,Cần Giờ
Hồ Chí Minh,Củ Chi
Hồ Chí Minh,Gò Vấp
Hồ Chí Minh,Hóc Môn
Hồ Chí Minh,Nhà Bè
Hồ Chí Minh,Phú Nhuận
Hồ Chí Minh,Thủ Đức
Hồ Chí Minh,Tân Bình
Hồ Chí Minh,Tân Phú
Khánh Hòa,Cam Lâm
Khánh Hòa,Cam Ranh
Khánh Hòa,Diên Khánh
Khánh Hòa,Khánh Sơn
Khánh Hòa,Khánh Vĩnh
Khánh Hòa,Nha Trang
Khánh Hòa,Ninh Hòa
Khánh Hòa,Trường Sa
Khánh Hòa,Vạn Ninh
Kiên Giang,An Biên
Kiên Giang,Châu Thành
Kiên Giang,Giang Thành
Kiên Giang,Giồng Riềng
Kiên Giang,Gò Quao
Kiên Giang,Hà Tiên
Kiên Giang,Hòn Đất
Kiên Giang,Kiên Hải
Kiên Giang,Kiên Lương
Kiên Giang,Phú Quốc
Kiên Giang,Rạch Giá
Kiên Giang,Tân Hiệp
Kiên Giang,U Minh Thượng
Kon Tum,Kon Plông
Kon Tum,Kon Rẫy
Kon Tum,Kon Tum
Kon Tum,Ngọc Hồi
Kon Tum,Sa Thầy
Kon Tum,Đắk Glei
Kon Tum,Đắk Hà
Kon Tum,Đắk Tô
Lai Châu,Lai Châu
Lai Châu,Phong Thổ
Lai Châu,Tam Đường
Lai Châu,Tân Uyên
Long An,Bến Lức
Long An,Châu Thành
Long An,Cần Giuộc
Long An,Cần Đước
Long An,Kiến Tường
Long An,Mộc Hóa
Long An,Thạnh Hóa
Long An,Thủ Thừa
Long An,Tân An
Long An,Tân Hưng
Long An,Tân Thạnh
Long An,Tân Trụ
Long An,Vĩnh Hưng
Long An,Đức Huệ
Long An,Đức Hòa
Lào Cai,Bát Xát
Lào Cai,Bảo Thắng
Lào Cai,Bảo Yên
Lào Cai,Bắc Hà
Lào Cai,Lào Cai
Lào Cai,Sa Pa
Lào Cai,Văn Bàn
Lâm Đồng,Bảo Lâm
Lâm Đồng,Bảo Lộc
Lâm Đồng,Di Linh
Lâm Đồng,Lâm Hà
Lâm Đồng,Lạc Dương
Lâm Đồng,Đam Rông
Lâm Đồng,Đà Lạt
Lâm Đồng,Đơn Dương
Lâm Đồng,Đạ Huoai
Lâm Đồng,Đức Trọng
Lạng Sơn,Bình Gia
Lạng Sơn,Bắc Sơn
Lạng Sơn,Cao Lộc
Lạng Sơn,Chi Lăng
Lạng Sơn,Hữu Lũng
Lạng Sơn,Lạng Sơn
Lạng Sơn,Lộc Bình
Lạng Sơn,Tràng Định
Lạng Sơn,Văn Lãng
Lạng Sơn,Đình Lập
Nam Định,Giao Thủy
Nam Định,Hải Hậu
Nam Định,Nam Trực
Nam Định,Nam Định
Nam Định,Nghĩa Hưng
Nam Định,Trực Ninh
Nam Định,Vụ Bản
Nam Định,Xuân Trường
Nam Định,Ý Yên
Nghệ An,Anh Sơn
Nghệ An,Diễn Châu
Nghệ An,Hoàng Mai
Nghệ An,Hưng Nguyên
Nghệ An,Kỳ Sơn
Nghệ An,Nam Đàn
Nghệ An,Nghi Lộc
Nghệ An,Nghĩa Đàn
Nghệ An,Quế Phong
Nghệ An,Quỳ Hợp
Nghệ An,Quỳnh Lưu
Nghệ An,Thanh Chương
Nghệ An,Thái Hòa
Nghệ An,Tân Kỳ
Nghệ An,Tương Dương
Nghệ An,Vinh
Nghệ An,Yên Thành
Nghệ An,Đô Lương
Ninh Bình,Gia Viễn
Ninh Bình,Hoa Lư
Ninh Bình,Kim Sơn
Ninh Bình,Nho Quan
Ninh Bình,Tam Điệp
Ninh Bình,Yên Khánh
Ninh Bình,Yên Mô
Ninh Thuận,Bác Ái
Ninh Thuận,Ninh Hải
Ninh Thuận,Ninh Phước
Ninh Thuận,Ninh Sơn
Ninh Thuận,Phan Rang - Tháp Chàm
Ninh Thuận,Thuận Bắc
Ninh Thuận,Thuận Nam
Phú Thọ,Cẩm Khê
Phú Thọ,Hạ Hòa
Phú Thọ,Lâm Thao
Phú Thọ,Phù Ninh
Phú Thọ,Phú Thọ
Phú Thọ,Tam Nông
Phú Thọ,Thanh Ba
Phú Thọ,Thanh Sơn
Phú Thọ,Thanh Thủy
Phú Thọ,Tân Sơn
Phú Thọ,Việt Trì
Phú Thọ,Yên Lập
Phú Thọ,Đoan Hùng
Phú Yên,Phú Hòa
Phú Yên,Sông Cầu
Phú Yên,Sông Hinh
Phú Yên,Sơn Hòa
Phú Yên,Tuy An
Phú Yên,Tuy Hòa
Phú Yên,Tây Hòa
Phú Yên,Đông Hòa
Phú Yên,Đồng Xuân
Quảng Bình,Ba Đồn
Quảng Bình,Bố Trạch
Quảng Bình,Lệ Thủy
Quảng Bình,Minh Hóa
Quảng Bình,Quảng Ninh
Quảng Bình,Quảng Trạch
Quảng Bình,Tuyên Hóa
Quảng Bình,Đồng Hới
Quảng Nam,Bắc Trà My
Quảng Nam,Duy Xuyên
Quảng Nam,Hiệp Đức
Quảng Nam,Hội An
Quảng Nam,Nam Giang
Quảng Nam,Núi Thành
Quảng Nam,Phú Ninh
Quảng Nam,Phước Sơn
Quảng Nam,Quế Sơn
Quảng Nam,Tam Kỳ
Quảng Nam,Thăng Bình
Quảng Nam,Tiên Phước
Quảng Nam,Tây Giang
Quảng Nam,Điện Bàn
Quảng Nam,Đông Giang
Quảng Nam,Đại Lộc
Quảng Ngãi,Ba Tơ
Quảng Ngãi,Bình Sơn
Quảng Ngãi,Lý Sơn
Quảng Ngãi,Minh Long
Quảng Ngãi,Mộ Đức
Quảng Ngãi,Nghĩa Hành
Quảng Ngãi,Quảng Ngãi
Quảng Ngãi,Sơn Hà
Quảng Ngãi,Sơn Tây
Quảng Ngãi,Sơn Tịnh
Quảng Ngãi,Trà Bồng
Quảng Ngãi,Tư Nghĩa
Quảng Ngãi,Đức Phổ
Quảng Ninh,Cô Tô
Quảng Ninh,Cẩm Phả
Quảng Ninh,Hạ Long
Quảng Ninh,Hải Hà
Quảng Ninh,Móng Cái
Quảng Ninh,Quảng Yên
Quảng Ninh,Tiên Yên
Quảng Ninh,Uông Bí
Quảng Ninh,Vân Đồn
Quảng Ninh,Đông Triều
Quảng Ninh,Đầm Hà
Quảng Trị,Cam Lộ
Quảng Trị,Gio Linh
Quảng Trị,Hướng Hóa
Quảng Trị,Hải Lăng
Quảng Trị,Quảng Trị
Quảng Trị,Triệu Phong
Quảng Trị,Vĩnh Linh
Quảng Trị,Đa Krông
Quảng Trị,Đông Hà
Sóc Trăng,Châu Thành
Sóc Trăng,Cù Lao Dung
Sóc Trăng,Kế Sách
Sóc Trăng,Long Phú
Sóc Trăng,Mỹ Tú
Sóc Trăng,Mỹ Xuyên
Sóc Trăng,Ngã Năm
Sóc Trăng,Sóc Trăng
Sóc Trăng,Thạnh Trị
Sóc Trăng,Trần Đề
Sóc Trăng,Vĩnh Châu
Sơn La,Bắc Yên
Sơn La,Mai Sơn
Sơn La,Mộc Châu
Sơn La,Phù Yên
Sơn La,Sông Mã
Sơn La,Sơn La
Sơn La,Sốp Cộp
Sơn La,Vân Hồ
Thanh Hóa,Bá Thước
Thanh Hóa,Bỉm Sơn
Thanh Hóa,Cẩm Thủy
Thanh Hóa,Hoằng Hóa
Thanh Hóa,Hà Trung
Thanh Hóa,Hậu Lộc
Thanh Hóa,Lang Chánh
Thanh Hóa,Nga Sơn
Thanh Hóa,Nghi Sơn
Thanh Hóa,Ngọc Lặc
Thanh Hóa,Như Thanh
Thanh Hóa,Như Xuân
Thanh Hóa,Nông Cống
Thanh Hóa,Quan Sơn
Thanh Hóa,Quảng Xương
Thanh Hóa,Sầm Sơn
Thanh Hóa,Thanh Hóa
Thanh Hóa,Thiệu Hóa
Thanh Hóa,Thường Xuân
Thanh Hóa,Thạch Thành
Thanh Hóa,Thọ Xuân
Thanh Hóa,Triệu Sơn
Thanh Hóa,Vĩnh Lộc
Thanh Hóa,Yên Định
Thái Bình,Hưng Hà
Thái Bình,Kiến Xương
Thái Bình,Quỳnh Phụ
Thái Bình,Thái Bình
Thái Bình,Thái Thụy
Thái Bình,Tiền Hải
Thái Bình,Vũ Thư
Thái Bình,Đông Hưng
Thái Nguyên,Phú Bình
Thái Nguyên,Phú Lương
Thái Nguyên,Phổ Yên
Thái Nguyên,Sông Công
Thái Nguyên,Thái Nguyên
Thái Nguyên,Võ Nhai
Thái Nguyên,Đại Từ
Thái Nguyên,Định Hóa
Thái Nguyên,Đồng Hỷ
Tiền Giang,Cai Lậy
Tiền Giang,Châu Thành
Tiền Giang,Chợ Gạo
Tiền Giang,Cái Bè
Tiền Giang,Gò Công
Tiền Giang,Gò Công Tây
Tiền Giang,Gò Công Đông
Tiền Giang,Mỹ Tho
Tiền Giang,Tân Phú Đông
Tiền Giang,Tân Phước
Trà Vinh,Châu Thành
Trà Vinh,Càng Long
Trà Vinh,Cầu Kè
Trà Vinh,Cầu Ngang
Trà Vinh,Duyên Hải
Trà Vinh,Tiểu Cần
Trà Vinh,Trà Cú
Trà Vinh,Trà Vinh
Tuyên Quang,Chiêm Hóa
Tuyên Quang,Hàm Yên
Tuyên Quang,Lâm Bình
Tuyên Quang,Sơn Dương
Tuyên Quang,Tuyên Quang
Tuyên Quang,Yên Sơn
Tây Ninh,Bến Cầu
Tây Ninh,Châu Thành
Tây Ninh,Dương Minh Châu
Tây Ninh,Gò Dầu
Tây Ninh,Hòa Thành
Tây Ninh,Trảng Bàng
Tây Ninh,Tân Biên
Tây Ninh,Tân Châu
Tây Ninh,Tây Ninh
Vĩnh Long,Bình Minh
Vĩnh Long,Bình Tân
Vĩnh Long,Long Hồ
Vĩnh Long,Mang Thít
Vĩnh Long,Tam Bình
Vĩnh Long,Trà Ôn
Vĩnh Long,Vĩnh Long
Vĩnh Long,Vũng Liêm
Vĩnh Phúc,Bình Xuyên
Vĩnh Phúc,Lập Thạch
Vĩnh Phúc,Phúc Yên
Vĩnh Phúc,Sông Lô
Vĩnh Phúc,Tam Dương
Vĩnh Phúc,Tam Đảo
Vĩnh Phúc,Vĩnh Tường
Vĩnh Phúc,Vĩnh Yên
Vĩnh Phúc,Yên Lạc
Yên Bái,Lục Yên
Yên Bái,Mù Căng Chải
Yên Bái,Nghĩa Lộ
Yên Bái,Trạm Tấu
Yên Bái,Trấn Yên
Yên Bái,Văn Chấn
Yên Bái,Văn Yên
Yên Bái,Yên Bái
Yên Bái,Yên Bình
Điện Biên,Tuần Giáo
Điện Biên,Điện Biên
Điện Biên,Điện Biên Phủ
Điện Biên,Điện Biên Đông
Đà Nẵng,Cẩm Lệ
Đà Nẵng,Hoàng Sa
Đà Nẵng,Hòa Vang
Đà Nẵng,Hải Châu
Đà Nẵng,Liên Chiểu
Đà Nẵng,Ngũ Hành Sơn
Đà Nẵng,Sơn Trà
Đà Nẵng,Thanh Khê
Đắk Lắk,Buôn Hồ
Đắk Lắk,Buôn Ma Thuột
Đắk Lắk,Buôn Đôn
Đắk Lắk,Cư Kuin
Đắk Lắk,Cư M'gar
Đắk Lắk,Ea H'leo
Đắk Lắk,Ea Kar
Đắk Lắk,Ea Súp
Đắk Lắk,Krông A Na
Đắk Lắk,Krông Bông
Đắk Lắk,Krông Búk
Đắk Lắk,Krông Năng
Đắk Lắk,Krông Pắc
Đắk Lắk,Lắk
Đắk Lắk,M'Đrắk
Đắk Nông,Cư Jút
Đắk Nông,Gia Nghĩa
Đắk Nông,Krông Nô
Đắk Nông,Tuy Đức
Đắk Nông,Đăk Glong
Đắk Nông,Đắk Mil
Đắk Nông,Đắk R'Lấp
Đắk Nông,Đắk Song
Đồng Nai,Biên Hòa
Đồng Nai,Cẩm Mỹ
Đồng Nai,Long Khánh
Đồng Nai,Long Thành
Đồng Nai,Nhơn Trạch
Đồng Nai,Thống Nhất
Đồng Nai,Trảng Bom
Đồng Nai,Tân Phú
Đồng Nai,Vĩnh Cửu
Đồng Nai,Xuân Lộc
Đồng Nai,Định Quán
Đồng Tháp,Cao Lãnh
Đồng Tháp,Châu Thành
Đồng Tháp,Hồng Ngự
Đồng Tháp,Lai Vung
Đồng Tháp,Lấp Vò
Đồng Tháp,Sa Đéc
Đồng Tháp,Tam Nông
Đồng Tháp,Thanh Bình
Đồng Tháp,Tháp Mười
Đồng Tháp,Tân Hồng
